id;start_date;end_date;language
1;2022-11-24T01:45:55;2022-11-23T23:36:10;ENGLISH
2;2022-11-23T11:13:30;2022-11-23T20:38:59;FRENCH
3;2022-11-23T21:09:42;2022-11-23T09:14:50;SPANISH
4;2022-11-24T01:40:31;2022-11-23T07:06:50;FRENCH
5;2022-11-24T03:56:54;2022-11-23T12:15:52;ENGLISH
6;2022-11-23T13:27:37;2022-11-24T03:27:57;SPANISH
7;2022-11-23T21:31:25;2022-11-23T08:05:34;FRENCH
8;2022-11-23T11:57:18;2022-11-23T08:33:07;FRENCH
9;2022-11-23T12:48:56;2022-11-24T00:20:22;FRENCH
10;2022-11-23T08:45:54;2022-11-24T01:43:23;FRENCH
